order_execution_datetime,trader,direction,ticker,expiration,contract_details,contract_price,timeframe,comment
12/28/2022 10:12 AM,MariaC82,IN,FIS,04/21/2023,75C,2.8,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH & ALPHA GOLD 
01/03/2023 6:40 AM,MariaC82,OUT,WBD,01/06/2023,9.5C,0.47,SWING,OUT OF ALL. THESE ARE GREEN AGAIN.. TAKING IT WHILE I CAN 
01/04/2023 11:05 AM,MariaC82,IN,M,03/17/2023,24C,1.37,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH 
01/06/2023 7:24 AM,MariaC82,IN,MRVL,03/17/2023,37.5C,2.43,SWING,STOP AT YOUR OWN RISK RAPIDFIRE BULLISH 
01/12/2023 6:58 AM,MariaC82,IN,LYFT,01/27/2023,14.5C,0.53,SWING,STOP AT YOUR OWN RISK. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL. SWIFT & RAPIDFIRE BULLISH 
01/12/2023 10:06 AM,MariaC82,OUT,MRVL,03/17/2023,37.5C,5.15,SWING,OUT OF 1/2: 5.15 FROM 2.43 
01/23/2023 7:35 AM,MariaC82,OUT,LYFT,01/27/2023,14.5C,1.23,SWING,OUT OF ALL: 1.23 FROM 0.53 
01/23/2023 8:16 AM,MariaC82,OUT,MRVL,03/17/2023,37.5C,6.3,SWING,OUT OF SOME MORE. 6.30 FROM 2.43. LEAVING A FEW RUNNERS 
01/23/2023 12:38 PM,MariaC82,IN,ADI,01/27/2023,172.5C,1.3,SWING,STOP AT YOUR OWN RISK ROULETTE BULLISH. COBRA. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL 
01/24/2023 9:16 AM,MariaC82,IN,PANW,03/17/2023,170C,2.67,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE BULLISH. COBRA. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL Thread everyone MariaC82 IN PANW 3 17 170C 2 3 Messages › There are no recent messages in this thread. 
01/26/2023 6:41 AM,MariaC82,IN,CRM,02/10/2023,170C,1.24,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL 
01/26/2023 12:38 PM,MariaC82,OUT,CRM,02/10/2023,170C,2.47,SWING,OUT OF MOST: 2.47 FROM 1.24. LEAVING A FEW RUNNERS JUST FOR FUN. PLEASE DONT WAIT FOR ME TO EXIT THE REST! Fireguy343 started a thread: everyone MariaC82 IN PANW 3 17 170C 2 . See all threads . — 01/26/2023 12:38 PM 
01/27/2023 6:53 AM,MariaC82,IN,FTCH,02/10/2023,7C,0.37,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE & STEADY BULLISH. COBRA. 100%RISK 
01/27/2023 7:10 AM,MariaC82,IN,EBAY,07/21/2023,50C,4.21,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH 
01/30/2023 7:07 AM,MariaC82,IN,SHOP,02/03/2023,45.5C,4.01,SWING,POSSIBLE SCALP STOP AT YOUR OWN RISK. ROULETTE AND LARGE BULLISHRISKY AF. COBRADONT TAKE UNLESS WILLING TO LOSE ALL 
02/01/2023 6:51 AM,MariaC82,IN,SNAP,1/19/2024,13C,1.71,SWING,STOP AT YOUR OWN RISK. REPEATER BULLISH. RISKY AF. YESTHIS BREAKS THE 3 DAY RULEBUT IM OK WITH IT B/C OF THE TIME BOUGHT ON THE CONTRACTS 
02/01/2023 7:03 AM,MariaC82,OUT,CRM,02/10/2023,170C,3.27,SWING,OUT OF THE REST: 3.27 FROM: 1.24 
02/01/2023 11:53 AM,MariaC82,OUT,FTCH,02/10/2023,7C,0.57,SWING,OUT OF 1/2 
02/02/2023 6:32 AM,MariaC82,OUT,SHOP,02/03/2023,45.5C,7.8,SWING,OUT OF ALL: 7.80 FROM 4.01 
02/02/2023 6:36 AM,MariaC82,IN,AI,03/03/2023,22C,3.8,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH Thread AI 3/3 22c 7 Messages › There are no recent messages in this thread. 
02/02/2023 6:51 AM,MariaC82,OUT,FTCH,02/10/2023,7C,1.1,SWING,OUT OF THE REST: 1.05 FROM: 0.37
02/02/2023 6:51 AM,MariaC82,OUT,FTCH,02/10/2023,7C,1.05,SWING,OUT OF ALL CORRECTION: OUT AT 1.05 NOT 1.10 YouCanCallmeAL97 started a thread: AI 3/3 22c . See all threads . — 02/02/2023 7:02 AM 
02/02/2023 10:13 AM,MariaC82,IN,GM,04/21/2023,50C,0.35,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH. COBRA. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL 
02/03/2023 6:53 AM,MariaC82,IN,SNOW,07/21/2023,235C,9.45,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH. DONT TAKE UNLESS WILLING TO LOSE ALL 
02/03/2023 8:07 AM,MariaC82,OUT,AI,03/03/2023,22C,6.3,SWING,OUT OF 1/2: 6.30 FROM: 3.80 
02/03/2023 8:19 AM,MariaC82,IN,YEXT,02/17/2023,10C,0.35,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH. COBRA. DONT TAKE UNLESS WILLING TO LOSE ALL. 100% RISK 
02/06/2023 6:34 AM,MariaC82,IN,MSFT,08/18/2023,265C,19.47,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH & ALPHA GOLD. HIGH RISK. PLAY ACCORDINGLY 
02/06/2023 7:14 AM,MariaC82,IN,BBAI,06/16/2023,10C,0.85,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL 
02/07/2023 6:38 AM,MariaC82,OUT,AI,03/03/2023,22C,6.73,SWING,OUT OF MORE: 6.73 FROM: 3.80. CORRECTION TO PREVIOUS POST: DOWN TO 1 CONTRACT. YOLO ON THE LAST ONE 
02/07/2023 12:28 PM,MariaC82,IN,ZI,03/17/2023,30C,2.3,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH 
02/08/2023 6:33 AM,MariaC82,OUT,MSFT,08/18/2023,265C,28.05,SWING,OUT OF 1/2: 28.05 FROM: 19.47
02/08/2023 6:33 AM,MariaC82,OUT,PANW,03/03/2023,170C,5.5,SWING,OUT OF 1/2: 5.50 FROM: 2.67 
02/09/2023 8:00 AM,MariaC82,IN,NVDA,03/17/2023,270C,4.5,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH. SUPER RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL. 100% RISK Thread NVDA 10 Messages › There are no recent messages in this thread. 
02/09/2023 12:07 PM,MariaC82,IN,CRM,03/17/2023,190C,4.0,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH. RISKY.. ER RUN UP PLAY YouCanCallmeAL97 started a thread: NVDA . See all threads . — 02/10/2023 2:06 AM 
02/16/2023 6:55 AM,MariaC82,IN,DDD,03/17/2023,12C,0.87,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL 
02/21/2023 7:37 AM,MariaC82,OUT,PANW,03/18/2023,170C,6.0,SWING,OUT OF THE REST: 6.00 FROM: 2.87 MariaC82 — 02/21/2023 7:37 AM
02/21/2023 7:47 AM,MariaC82,OUT,PANW,03/17/2023,170C,7.38,SWING,OUT OF ALL: 7.38 FROM: 2.67. On the previous exit: so sorry yall.. i had 2 open panw positions.. 170s for 3/3 and 170s for 3/18.  The position i exited before was the 3/3 expiration.  This is the exit for the 3/17** 
02/27/2023 6:54 AM,MariaC82,IN,UPST,03/17/2023,21C,0.59,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL. 100% RISK 
02/27/2023 10:44 AM,MariaC82,IN,CUBE,04/21/2023,50C,1.3,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH 
03/02/2023 6:32 AM,MariaC82,OUT,CRM,03/17/2023,190C,8.0,SWING,OUT OF ALL: FROM: 4.00 TO 8 & 7.75 
03/07/2023 11:45 AM,MariaC82,IN,WW,1/17/2025,7.5C,3.0,SWING,STOP AT YOUR OWN RISK. NO FLOW. NO ALERT. FOLLOWING BASED ON NEWS. STARTER POSITION.. MIGHT BE LOOKING TO ADD THE JAN 2025 10Cs AT SOME POINT MariaC82 — 03/07/2023 11:47 AM
03/09/2023 11:15 AM,MariaC82,IN,AAPL,07/21/2023,180C,1.96,SWING,STOP AT YOUR OWN RISK. SUPER RISKY AF. I LIKE THE FLOWBUT NOT NECESSARILY HOW FAR OTM THESE ARE. ONLY RISK WHAT YOURE WILLING TO LOSE 
03/10/2023 11:46 AM,MariaC82,IN,NUE,03/31/2023,165C,3.78,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH: THIS IS A STARTER POSITION. MAY LOOK TO ADD LOWER IF WE GET AN OPPORTUNITY TO 
03/14/2023 12:40 PM,MariaC82,IN,AMZN,12/19/2025,110C,20.95,SWING,STOP AT YOUR OWN RISK. CALL ME CRAZYBUT I LIKE IT.. LARGE BULLISH/ALPHA GOLD. YESI WILL PROBABLY HOLD UNTIL CLOSE TO EXPIRATION. IF YOURE NOT WILLING TO DO THE SAMETHEN THIS IS NOT THE TRADE FOR YOU 
03/16/2023 7:22 AM,MariaC82,IN,TSM,03/17/2023,86C,1.3,SWING,POSSIBLE SCALP STOP AT YOUR OWN RISK. ROULETTE BULLISH. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL 
03/16/2023 8:31 AM,MariaC82,OUT,TSM,03/17/2023,86C,2.06,SWING,POSSIBLE SCALP OUT OF 1/2 
03/16/2023 9:06 AM,MariaC82,OUT,TSM,03/17/2023,86C,2.29,SWING,OUT OF SOME MORE JUST A FEW CONTRACTS LEFT
03/16/2023 9:06 AM,MariaC82,OUT,TSM,03/17/2023,86C,2.1,SCALP,OUT OF THE REST 
03/16/2023 11:48 AM,MariaC82,IN,TSM,05/19/2023,90C,5.05,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH. RISKY TRADE 
03/17/2023 8:10 AM,MariaC82,IN,HOG,03/24/2023,37C,1.15,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH 
03/20/2023 6:51 AM,MariaC82,IN,PAAS,04/21/2023,21C,0.4,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL 
03/20/2023 7:01 AM,MariaC82,IN,GOLD,04/21/2023,21C,0.25,SWING,STOP AT YOUR OWN RISK. REPEATER BULLISH. ANOTHER YOLO. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL MariaC82 — 03/20/2023 7:04 AM
03/20/2023 7:20 AM,MariaC82,OUT,HOG,03/24/2023,37C,1.42,SWING,OUT OF 3/4THs 
03/21/2023 8:12 AM,MariaC82,OUT,HOG,03/24/2023,37C,2.85,SWING,OUT OF THE REST: 2.85 FROM: 1.15 
03/22/2023 6:53 AM,MariaC82,OUT,TSM,05/19/2023,90C,8.35,SWING,OUT OF 1/2: 8.35 FROM: 5.05 
03/23/2023 6:48 AM,MariaC82,IN,ONON,07/21/2023,35C,1.5,SWING,STOP AT YOUR OWN RISK. REPEATER BULLISH. SMALL POSITION 
03/24/2023 11:59 AM,MariaC82,IN,SHOP,05/19/2023,50C,2.53,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH & ALPHA GOLD Thread SHOP 5/19 50C 19 Messages › There are no recent messages in this thread. YouCanCallmeAL97 started a thread: SHOP 5/19 50C . See all threads . — 03/27/2023 2:11 PM 
03/29/2023 6:55 AM,MariaC82,IN,CCJ,09/15/2023,32C,1.05,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH & ALPHA GOLD 
03/29/2023 7:05 AM,MariaC82,IN,BOX,05/19/2023,26C,1.25,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH 
03/29/2023 9:43 AM,MariaC82,IN,LULU,04/21/2023,380C,5.22,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH INTO THE APRIL 400Cs.. THOSE WERE TOO FAR OTM FOR ME SO I TOOK THE APRIL 380Cs INSTEAD. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL 
03/30/2023 9:54 AM,MariaC82,IN,ULTA,1/19/2024,540C,64.85,SWING,STOP AT YOUR OWN RISK. SUPER RISKY AF. LARGE & SWIFT BULLISH. ALSO AN ALPHA GOLD. THESE CONTRACTS ARE SUPER EXPENSIVE AND I'M EXPECTING THEM TO MOVE AROUND A LOT. IM ALSO COMFORTABLE HOLDING THESE UNTIL CLOSE TO EXPIRATION IF NEEDED. DO NOT TAKE THIS TRADE IF YOURE NOT WILLING TO LOSE ON IT 
03/30/2023 11:20 AM,MariaC82,IN,UNH,06/16/2023,470C,22.6,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE BULLISH FLOW ALERT 
03/31/2023 9:09 AM,MariaC82,OUT,ULTA,1/19/2024,540C,70.0,SWING,OUT OF ALL. I WOULD HAVE LOVED TO STAY IN THISHOWEVER IT LOOKS LIKE THEY DID A COMPLETE EXIT. SINCE I FOLLOWED THEM INIM FOLLOWING THEM OUT. WILL REVIST IF THEY DECIDE TO COME BACK INTO THIS LINE. 
04/05/2023 6:39 AM,MariaC82,OUT,UNH,06/16/2023,470C,43.22,SWING,OUT OF 3/4TH: 43.22 FROM: 22.60 
04/05/2023 7:36 AM,MariaC82,OUT,UNH,06/16/2023,470C,47.35,SWING,OUT OF THE REST: 47.35 FROM: 22.60. I WILL REVIST THIS PLAY IF THEY COME BACK FOR MORE. UNH COULD KEEP GOINGBUT I'M HAPPY WITH THE MOVE WE GOT. 
04/05/2023 10:22 AM,MariaC82,IN,ZS,07/21/2023,125C,4.86,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE BULLISH. RISKIER TRADE 
04/10/2023 7:00 AM,MariaC82,IN,MRVL,06/16/2023,40C,3.5,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE BULLISH FLOW ALERT 
04/11/2023 6:57 AM,MariaC82,IN,CAT,08/18/2023,260C,3.5,SWING,STOP AT YOUR OWN RISK. SWIFT AND RAPIDFIRE BULLISH FLOW ALERTS 
04/14/2023 6:47 AM,MariaC82,IN,NET,04/28/2023,64C,5.1,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH. RISKY AF. DONT TAKE UNLESS WILLING TO LOSE ALL 
04/14/2023 7:51 AM,MariaC82,OUT,NET,04/28/2023,64C,4.3,SWING,OUT OF ALL. LOOKS LIKE DID ALMOST A COMPLETE EXIT ON THIS. FOLLOWING THEM OUT. WILL REVISIT IF WE SEE MORE ACTIVITY INTO NET 
04/14/2023 10:47 AM,MariaC82,IN,NVDA,06/16/2023,242.5C,35.1,SWING,STOP AT YOUR OWN RISK **LARGE BULLISH & ALPHA GOLD. SHOULD CATCH ANY RUN UP TO ER. THIS IS A SPECULATIVE TRADE AND AN EXPENSIVE CONTRACT. DONT TAKE THIS IF YOU CANT HANDLE THE MOVES OR CANT TAKE A LARGER LOSS (IF NEEDED) 
04/17/2023 10:04 AM,MariaC82,IN,UBER,08/18/2023,35C,2.28,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH. RISKY AF. DONT TAKE UNLESS YOURE WILLING TO RISK ALL 
04/25/2023 7:30 AM,MariaC82,IN,PHG,10/20/2023,25C,0.75,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH 
04/26/2023 9:45 AM,MariaC82,IN,ROST,06/16/2023,105C,5.4,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH 
05/01/2023 12:52 PM,MariaC82,IN,PANW,6/21/2024,195C,27.2,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH/ALPHA GOLD. ONLY BOUGHT 2 CONTRACTS. 1 FILLED @27.201 FILLED @27.15. DONT TAKE UNLESS YOURE WILLING TO HOLD FOR A LONG TIME 
05/03/2023 9:19 AM,MariaC82,OUT,UBER,08/18/2023,35C,5.36,SWING,OUT OF 1/2: 5.36 FROM: 2.28 
05/04/2023 6:31 AM,MariaC82,OUT,SHOP,05/19/2023,50C,6.1,SWING,OUT OF ALL: 6.10 FROM: 2:54 Thread everyone MariaC82 OUT SHOP 5 19 50C 6 3 Messages › There are no recent messages in this thread. 
05/10/2023 10:58 AM,MariaC82,IN,GOOGL,08/18/2023,115C,5.3,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH 
05/11/2023 6:39 AM,MariaC82,OUT,GOOGL,08/18/2023,115C,9.15,SWING,OUT OF A COUPLE: 9.15 FROM: 5.30 
05/12/2023 12:02 PM,MariaC82,IN,SBUX,10/20/2023,110C,5.85,SWING,STOP AT YOUR OWN RISK SWIFT BULLISH AND ALPHA GOLD 
05/17/2023 7:39 AM,MariaC82,IN,DIS,06/21/2024,110C,6.6,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH. SUPER SMALL POSITION. DONT TAKE UNLESS YOURE WILLING TO HOLD INTO NEXT YEAR 
05/19/2023 7:06 AM,MariaC82,OUT,BOX,05/18/2024,26C,1.55,SWING,OUT OF ALL 
05/19/2023 7:22 AM,MariaC82,IN,GOOG,06/23/2023,132C,1.58,SWING,STOP AT YOUR OWN RISK STEADY BULLISH Thread everyone MariaC82 IN GOOG 6 23 132C 1 5 Messages › There are no recent messages in this thread. 
05/24/2023 9:03 AM,MariaC82,IN,PFE,01/19/2024,50C,0.45,SWING,STOP AT YOUR OWN RISK RAPIDFIRE BULLISH 
05/24/2023 9:40 AM,MariaC82,OUT,NVDA,06/16/2023,242.5C,59.87,SWING,OUT OF ALL: 59.87 FROM: 35.10 Thread everyone MariaC82 OUT NVDA 6 16 242 5C 8 Messages › There are no recent messages in this thread. 
05/25/2023 9:42 AM,MariaC82,IN,TSM,10/20/2023,105C,8.13,SWING,STOP AT YOUR OWN RISK. REPEATER BULLISH 
05/25/2023 11:02 AM,MariaC82,OUT,MRVL,06/16/2023,40C,8.81,SWING,OUT OF ALL: 8.81 FROM: 3.50 Thread everyone MariaC82 OUT MRVL 6 16 40C 8 4 Messages › There are no recent messages in this thread. masterwayne started a thread: everyone MariaC82 OUT MRVL 6 16 40C 8 . See all threads . — 05/26/2023 7:14 AM masterwayne started a thread: everyone MariaC82 IN GOOG 6 23 132C 1 . See all threads . — 05/30/2023 7:13 PM 
05/31/2023 6:42 AM,MariaC82,OUT,ZS,07/20/2023,125c,17.3,SWING,OUT OF ALL: 17.30 FROM 4.86 Thread everyone MariaC82 OUT ZS 7 20 125c 17 1 Message › There are no recent messages in this thread. 
06/02/2023 6:46 AM,MariaC82,IN,BA,09/15/2023,215C,13.7,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH & ALPHA GOLD. RISKIER TRADE Thread BA 9/15-215C-13.7 5 Messages › There are no recent messages in this thread. masterwayne started a thread: everyone MariaC82 OUT ZS 7 20 125c 17 . See all threads . — 06/02/2023 8:09 AM 
06/05/2023 6:33 AM,MariaC82,IN,AAPL,07/21/2023,180C,7.55,SWING,STOP AT YOUR OWN RISK. OUT OF ALL: 7.55 FROM: 1.96 Who'sGotMyMoney? started a thread: BA 9/15-215C-13.7 . See all threads . — 06/06/2023 7:15 PM 
06/07/2023 7:07 AM,MariaC82,IN,PLTR,01/19/2024,25C,1.65,SWING,STOP AT YOUR OWN RISK. REPEATER BULLISH. RISKY AF: THIS IS NOT THE FLOW I WOULD TYPICALLY FOLLOWBUT I LIKE THE NAME. DONT TAKE UNLESS WILLING TO LOSE ALL 
06/08/2023 12:42 PM,mariac82,IN,AXP,10/20/2023,180C,7.4,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH & ALPHA GOLD 
06/09/2023 6:45 AM,mariac82,IN,SHOP,07/21/2023,70C,1.3,SWING,STOP AT YOUR OWN RISK. RAPIDFIRE BULLISH. SUPER RISKY AF. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL 
06/12/2023 6:44 AM,mariac82,IN,MRVL,06/23/2023,62.5C,1.77,SWING,STOP AT YOUR OWN RISK. STEADY & RAPIDFIRE BULLISH 
06/27/2023 6:42 AM,mariac82,IN,AMZN,09/15/2023,145C,2.77,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH/ALPHA GOLD. 100% RISK 
06/29/2023 7:37 AM,mariac82,IN,FDX,07/14/2023,255C,2.58,SWING,STOP AT YOUR OWN RISK. NO ALERT ON THIS ONEBUT I LIKE THE FLOW. SUPER SMALL POSITION. 100% RISK 
07/06/2023 11:57 AM,mariac82,IN,RUN,08/04/2023,18C,1.0,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH/ER RUN UP PLAY 
07/07/2023 9:02 AM,mariac82,IN,FSLR,07/21/2023,200C,3.2,SWING,STOP AT YOUR OWN RISK 
07/07/2023 10:22 AM,mariac82,IN,CROX,08/18/2023,135C,2.3,SWING,STOP AT YOUR OWN RISK.  STEADY BULLISH.. SUPER RISKY AF. HERO OR ZERO ON THIS ONE. DONT TAKE UNLESS YOURE WILLING TO LOSE ALL 
07/10/2023 10:27 AM,mariac82,IN,CRM,07/21/2023,220C,1.3,SWING,STOP AT YOUR OWN RISK. NO ALERT. SAW A LITTLE BIT OF FLOW THAT I LIKED. DON'T TAKE UNLESS WILLING TO LOSE ALL. 100% RISK 
07/10/2023 12:50 PM,mariac82,IN,CRM,11/17/2023,230C,9.3,SWING,STOP AT YOUR OWN RISK. FILLED AT 9.30 & 9.35. LARGE BULLISH & ALPHA GOLD 
07/11/2023 9:04 AM,mariac82,OUT,CRM,07/21/2023,220C,3.98,SWING,OUT OF ALL: 3.98 FROM 1.30 
07/11/2023 9:20 AM,mariac82,OUT,FDX,07/14/2023,255C,4.74,SWING,OUT OF ALL: 4.74 FROM: 2.58 
07/12/2023 9:59 AM,mariac82,IN,PANW,09/15/2023,270C,3.95,SWING,STOP AT YOUR OWN RISK. NO ALERT ON THIS ONE. NICE SIZED OPENING SWEEP INTO THIS LINE THAT I'M FOLLOWING. DONT TAKE UNLESS WILLING TO RISK ALL 
07/13/2023 8:08 AM,mariac82,IN,ORCL,07/14/2023,118C,0.5,SWING,POSSIBLE SCALP STOP AT YOUR OWN RISK. ROULETTE BULLISH. 100% RISK. THIS WILL EITHER WORK OR BE A 100% LOSS. DONT TRADE UNLESS YOURE WILLING TO LOSE ALL 
07/13/2023 9:44 AM,mariac82,IN,DDOG,07/28/2023,120C,1.19,SWING,STOP AT YOUR OWN RISK. SWIFT BULLISH. RISKY AF 
07/14/2023 6:36 AM,mariac82,OUT,ORCL,07/14/2024,115C,0.75,SWING,OUT OF ALL
07/14/2023 6:36 AM,mariac82,OUT,SHOP,07/21/2023,70C,2.36,SWING,OUT OF ALL 
07/14/2023 6:46 AM,mariac82,OUT,UBER,08/18/2023,35C,11.2,SWING,OUT OF ALL: 11.20 FROM 2.28 
07/14/2023 6:54 AM,mariac82,OUT,CRM,11/17/2023,230C,18.75,SWING,OUT OF ALL: 18.75 FROM: 9.30. OI SHOWS THAT THEY EXITED MOST OF THIS POSITION YESTERDAY 
07/17/2023 6:53 AM,mariac82,OUT,FSLR,07/21/2023,200C,4.68,SWING,OUT OF ALL: 4.68 FROM 3.20 
07/17/2023 8:09 AM,mariac82,IN,PATH,08/04/2023,19.5C,0.75,SWING,STOP AT YOUR OWN RISK. STEADY BULLISH. SMALL POSITION. 100% RISK ON THIS ONE. DONT TAKE UNLESS WILLING TO LOSE ALL 
07/17/2023 9:41 AM,mariac82,IN,SEDG,07/28/2023,290C,7.05,SWING,STOP AT YOUR OWN RISK. NO ALERT ON THIS ONE. NICE LOOKING SWEEP CAME IN. I'M LOOKING TO PLAY A POSSIBLE RUN UP TO ER 
07/19/2023 7:36 AM,mariac82,IN,CPRI,11/17/2023,42.5C,2.3,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH. RISKY 
07/19/2023 8:53 AM,mariac82,IN,MLCO,1/19/2024,12C,2.68,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH 
07/19/2023 10:09 AM,mariac82,IN,ETSY,08/04/2023,100C,4.55,SWING,STOP AT YOUR OWN RISK. NO ALERT ON THIS ONE. COMPLETE YOLO/ER RUN UP. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL 
07/20/2023 8:55 AM,mariac82,IN,OKTA,11/18/2023,80C,4.4,SWING,STOP AT YOUR OWN RISK. NO ALERT ON THIS ONE. COMPLETE YOLO/ER RUN UP. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL MariaC82 — 07/20/2023 8:57 AM
07/20/2023 9:55 AM,mariac82,IN,ALLY,09/15/2023,30C,0.98,SWING,STOP AT YOUR OWN RISK. NO ALERT ON THIS ONE. I JUST LIKE THE FLOW THAT CAME IN. HIGHER RISK TRADE 
07/26/2023 6:32 AM,mariac82,OUT,BA,09/15/2023,215C,13.95,SWING,OUT OF ALL CORRECTION TO PREVIOUS POST. THIS IS AN EXIT
07/26/2023 6:32 AM,mariac82,OUT,GOOGL,08/18/2023,115C,15.64,SWING,OUT OF ALL: 15.64 FROM: 5.30 
07/26/2023 6:41 AM,mariac82,OUT,MSFT,08/18/2023,265C,74.47,SWING,OUT OF ALL: 74.47 FROM: 19.47
07/26/2023 6:50 AM,mariac82,OUT,RUN,08/04/2023,18C,2.47,SWING,OUT OF ALL: 2.47 FROM: 1.00
07/26/2023 6:50 AM,mariac82,OUT,CAT,08/18/2023,260C,8.59,SWING,OUT OF ALL: 8.59 FROM: 3.50 
07/26/2023 9:17 AM,mariac82,IN,CVNA,07/28/2023,45C,1.3,SWING,STOP AT YOUR OWN RISK. ROULETTE BULLISH. 100% RISK. THIS WILL EITHER MAKE MONEY OR I WILL LET IT EXPIRE WORTHLESS. DONT TAKE UNLESS WILLING TO LOSE ALL 
07/27/2023 6:55 AM,mariac82,IN,HIMS,01/17/2025,10C,2.35,SWING,AT YOUR OWN RISK NO ALERT. NICE LINE OF FLOW HERE 
08/01/2023 7:08 AM,mariac82,IN,CAT,09/15/2023,310C,2.02,SWING,STOP AT YOUR OWN RISK. CORRECTING PREVIOUS POST: STRIKE IS 310 NOT 315. STOP AT YOUR OWN RISK. SUPER RISKY AF. 100% RISK. NO ALERTJUST FOLLOWING A DECENT ORDER. DONT TAKE UNLESS WILLING TO LOSE ALL 
08/04/2023 6:33 AM,mariac82,OUT,AMZN,09/15/2023,145C,4.16,SWING,OUT OF ALL STILL HOLDING THE AMZN 2025 CALLS 
08/04/2023 6:44 AM,mariac82,IN,MSFT,08/25/2023,330C,9.75,SWING,STOP AT YOUR OWN RISK. LARGE BULLISH & ALPHA GOLD 
08/04/2023 9:43 AM,mariac82,IN,NOW,08/11/2023,580C,2.5,SWING,STOP AT YOUR OWN RISK REPEATER & SWIFT BULLISH FLOW ALERTS. RISKIER TRADE. DONT TAKE IT UNLESS YOURE WILLING TO LOSE IT ALL 
08/07/2023 7:09 AM,mariac82,IN,CRM,10/20/2023,240C,5.0,SWING,STOP AT YOUR OWN RISK. NO ALERT. DECENT OPENING LINE IN THE FLOW. RISKY AF. 100% RISK. DONT TAKE UNLESS WILLING TO LOSE ALL 
08/08/2023 8:18 AM,mariac82,IN,NET,09/22/2023,80C,1.17,SWING,STOP AT YOUR OWN RISK. STEADY & REPEATER BULLISH. RISKY AF 
08/08/2023 11:15 AM,mariac82,IN,RUN,08/11/2023,17.5C,0.43,SWING,STOP AT YOUR OWN RISK. SWIFT & RAPIDFIRE BULLISH. SUPER RISKY AF. 100% RISK 
08/10/2023 6:33 AM,mariac82,OUT,CPRI,11/17/2023,42.50C,12.2,SWING,OUT OF ALL: 12.20 FROM 2.30 
08/10/2023 6:50 AM,mariac82,OUT,RUN,08/11/2023,17.5C,0.89,SWING,OUT OF A FEW: 0.89 FROM: 0.43 
